batter,Total_Runs,Total_Balls,Fours,Sixes,Innings,Strike_Rate,Avg_per_Match
SK Raina,3993.0,2970,345,158,139,134.44,28.73
RG Sharma,3813.0,2958,318,159,135,128.9,28.24
V Kohli,3730.0,3018,330,128,126,123.59,29.6
G Gambhir,3531.0,2942,411,50,125,120.02,28.25
RV Uthappa,3323.0,2669,332,103,125,124.5,26.58
CH Gayle,3243.0,2235,267,232,86,145.1,37.71
MS Dhoni,3199.0,2361,232,135,126,135.49,25.39
DA Warner,3040.0,2199,302,125,94,138.24,32.34
AB de Villiers,3021.0,2095,257,124,104,144.2,29.05
S Dhawan,2958.0,2521,333,58,106,117.33,27.91
V Sehwag,2728.0,1833,334,106,104,148.83,26.23
YK Pathan,2646.0,1843,221,137,117,143.57,22.62
AM Rahane,2612.0,2217,276,50,86,117.82,30.37
SR Watson,2530.0,1833,252,119,86,138.03,29.42
KD Karthik,2473.0,2025,248,59,116,122.12,21.32
M Vijay,2430.0,2031,231,85,96,119.65,25.31
JH Kallis,2427.0,2291,255,44,95,105.94,25.55
BB McCullum,2337.0,1872,233,104,87,124.84,26.86
SR Tendulkar,2334.0,2044,296,29,78,114.19,29.92
AT Rayudu,2312.0,1879,197,75,99,123.04,23.35
SE Marsh,2225.0,1715,233,73,61,129.74,36.48
Yuvraj Singh,2178.0,1746,157,125,99,124.74,22.0
R Dravid,2174.0,1918,269,28,82,113.35,26.51
AC Gilchrist,2069.0,1555,239,92,80,133.05,25.86
DR Smith,2028.0,1571,203,101,72,129.09,28.17
MEK Hussey,1977.0,1648,198,52,58,119.96,34.09
JP Duminy,1953.0,1596,120,78,70,122.37,27.9
KA Pollard,1946.0,1363,131,124,94,142.77,20.7
PA Patel,1927.0,1752,248,27,100,109.99,19.27
DPMD Jayawardene,1808.0,1522,200,40,78,118.79,23.18
KC Sangakkara,1687.0,1424,195,27,68,118.47,24.81
MK Pandey,1677.0,1474,159,47,78,113.77,21.5
RA Jadeja,1499.0,1269,104,52,93,118.12,16.12
DA Miller,1450.0,1031,97,73,57,140.64,25.44
S Badrinath,1441.0,1245,154,28,65,115.74,22.17
NV Ojha,1419.0,1224,117,74,83,115.93,17.1
BJ Hodge,1400.0,1153,122,43,63,121.42,22.22
SC Ganguly,1349.0,1326,137,42,56,101.73,24.09
MK Tiwary,1324.0,1202,121,28,66,110.15,20.06
DJ Hussey,1322.0,1101,90,60,61,120.07,21.67
F du Plessis,1287.0,1036,109,38,45,124.23,28.6
WP Saha,1269.0,988,102,49,64,128.44,19.83
SPD Smith,1241.0,933,113,33,47,133.01,26.4
DJ Bravo,1233.0,1012,97,48,78,121.84,15.81
SS Tiwary,1194.0,1037,82,44,61,115.14,19.57
AJ Finch,1187.0,972,133,35,46,122.12,25.8
TM Dilshan,1153.0,1047,140,24,50,110.12,23.06
IK Pathan,1139.0,970,88,38,79,117.42,14.42
ML Hayden,1107.0,839,121,44,32,131.94,34.59
LRPL Taylor,1017.0,847,66,46,54,120.07,18.83
SV Samson,1004.0,850,79,37,44,118.12,22.82
KP Pietersen,1001.0,758,91,40,36,132.06,27.81
Y Venugopal Rao,985.0,865,77,37,52,113.87,18.94
JA Morkel,975.0,712,61,55,67,136.94,14.55
A Symonds,974.0,781,74,41,36,124.71,27.06
CL White,971.0,774,76,38,45,125.45,21.58
LMP Simmons,942.0,762,99,36,22,123.62,42.82
Mandeep Singh,924.0,760,113,14,48,121.58,19.25
GJ Maxwell,919.0,594,76,56,42,154.71,21.88
HH Gibbs,886.0,837,83,31,36,105.85,24.61
MS Bisla,798.0,737,93,23,39,108.28,20.46
Harbhajan Singh,780.0,568,76,40,74,137.32,10.54
MA Agarwal,780.0,658,79,32,44,118.54,17.73
EJG Morgan,775.0,653,66,31,40,118.68,19.38
ST Jayasuriya,768.0,573,84,39,30,134.03,25.6
GC Smith,739.0,691,94,9,29,106.95,25.48
KK Nair,734.0,578,82,16,33,126.99,22.24
M Vohra,728.0,580,72,26,32,125.52,22.75
AD Mathews,692.0,571,42,28,39,121.19,17.74
TL Suman,676.0,587,55,26,39,115.16,17.33
AM Nayar,672.0,588,55,20,50,114.29,13.44
KL Rahul,660.0,552,53,23,26,119.57,25.38
STR Binny,642.0,507,49,24,46,126.63,13.96
KM Jadhav,626.0,490,47,23,44,127.76,14.23
Q de Kock,622.0,464,81,18,22,134.05,28.27
MC Henriques,617.0,508,53,21,34,121.46,18.15
GJ Bailey,613.0,495,53,18,33,123.84,18.58
JD Ryder,604.0,466,69,19,29,129.61,20.83
AD Russell,535.0,330,46,34,24,162.12,22.29
RS Bopara,531.0,468,39,16,22,113.46,24.14
M Manhas,514.0,486,43,10,38,105.76,13.53
OA Shah,506.0,405,34,23,22,124.94,23.0
PC Valthaty,505.0,432,61,20,23,116.9,21.96
PP Chawla,502.0,445,48,15,63,112.81,7.97
JP Faulkner,473.0,346,32,23,39,136.71,12.13
Shakib Al Hasan,471.0,370,43,14,28,127.3,16.82
SS Iyer,461.0,396,42,22,19,116.41,24.26
SA Yadav,452.0,353,42,16,31,128.05,14.58
SA Asnodkar,423.0,352,56,10,19,120.17,22.26
JR Hopes,417.0,314,49,11,19,132.8,21.95
J Botha,409.0,364,39,5,28,112.36,14.61
LR Shukla,405.0,358,33,16,33,113.13,12.27
AL Menaria,401.0,367,24,18,23,109.26,17.43
MV Boucher,394.0,318,32,13,23,123.9,17.13
CA Pujara,390.0,403,50,4,22,96.77,17.73
Azhar Mahmood,388.0,311,39,13,21,124.76,18.48
NLTC Perera,388.0,301,21,24,28,128.9,13.86
CJ Anderson,379.0,284,32,21,15,133.45,25.27
DB Ravi Teja,375.0,325,35,9,25,115.38,15.0
S Sohal,368.0,311,34,18,20,118.33,18.4
AR Patel,365.0,308,22,16,27,118.51,13.52
DT Christian,341.0,299,17,13,22,114.05,15.5
P Kumar,330.0,307,22,17,53,107.49,6.23
JEC Franklin,327.0,309,25,9,16,105.83,20.44
R Bhatia,326.0,273,24,12,46,119.41,7.09
RN ten Doeschate,326.0,238,26,15,21,136.97,15.52
AP Tare,321.0,260,37,11,24,123.46,13.38
DB Das,304.0,267,23,16,22,113.86,13.82
R Vinay Kumar,303.0,284,20,9,40,106.69,7.58
LA Pomersbach,302.0,251,25,13,16,120.32,18.88
UBT Chand,300.0,314,32,9,20,95.54,15.0
DJG Sammy,295.0,251,15,18,20,117.53,14.75
A Mishra,290.0,321,25,3,42,90.34,6.9
Y Nagar,285.0,271,20,9,20,105.17,14.25
VVS Laxman,282.0,271,33,5,20,104.06,14.1
GH Vihari,280.0,323,23,1,21,86.69,13.33
A Ashish Reddy,280.0,196,16,15,23,142.86,12.17
B Chipli,280.0,256,28,7,21,109.38,13.33
MJ Lumb,278.0,198,45,6,12,140.4,23.17
R Sathish,262.0,227,22,6,23,115.42,11.39
KV Sharma,260.0,229,13,12,27,113.54,9.63
M Kaif,259.0,258,22,6,22,100.39,11.77
Gurkeerat Singh,246.0,212,27,6,21,116.04,11.71
SP Goswami,241.0,260,26,2,16,92.69,15.06
SM Katich,241.0,191,26,8,11,126.18,21.91
MD Mishra,237.0,213,24,8,17,111.27,13.94
R Ashwin,230.0,241,22,2,34,95.44,6.76
DJ Hooda,230.0,171,12,13,18,134.5,12.78
MR Marsh,225.0,201,9,14,14,111.94,16.07
K Goel,218.0,239,17,9,16,91.21,13.62
AA Jhunjhunwala,217.0,218,19,5,15,99.54,14.47
JC Buttler,204.0,148,18,10,12,137.84,17.0
P Negi,203.0,157,16,9,18,129.3,11.28
PD Collingwood,203.0,159,9,13,7,127.67,29.0
CH Morris,200.0,121,9,14,17,165.29,11.76
SK Warne,198.0,219,14,6,27,90.41,7.33
SP Fleming,196.0,171,27,3,10,114.62,19.6
AS Raut,194.0,172,13,7,16,112.79,12.12
BJ Rohrer,193.0,146,21,5,8,132.19,24.12
Salman Butt,193.0,172,30,2,7,112.21,27.57
YV Takawale,192.0,183,26,3,10,104.92,19.2
FY Fazal,183.0,179,22,1,11,102.23,16.64
AC Voges,181.0,143,15,3,7,126.57,25.86
AB Agarkar,179.0,160,13,5,18,111.87,9.94
MF Maharoof,177.0,124,12,9,14,142.74,12.64
SN Khan,177.0,103,19,6,11,171.84,16.09
DH Yagnik,170.0,142,23,2,17,119.72,10.0
CM Gautam,169.0,158,17,6,13,106.96,13.0
MN van Wyk,167.0,135,19,1,5,123.7,33.4
DW Steyn,166.0,161,14,3,32,103.11,5.19
PA Reddy,164.0,167,15,2,10,98.2,16.4
R McLaren,159.0,178,14,1,13,89.33,12.23
RE van der Merwe,159.0,144,11,8,15,110.42,10.6
HH Pandya,149.0,126,12,8,16,118.25,9.31
KS Williamson,148.0,146,15,1,7,101.37,21.14
KH Pandya,147.0,86,14,7,6,170.93,24.5
SM Pollock,147.0,116,12,8,8,126.72,18.38
MP Stoinis,146.0,111,13,4,5,131.53,29.2
S Vidyut,145.0,115,21,3,8,126.09,18.12
R Dhawan,142.0,131,13,3,15,108.4,9.47
N Saini,140.0,143,16,0,10,97.9,14.0
RR Pant,138.0,100,14,5,6,138.0,23.0
S Anirudha,136.0,121,9,7,12,112.4,11.33
B Kumar,134.0,142,12,3,27,94.37,4.96
MN Samuels,132.0,142,8,5,10,92.96,13.2
MG Johnson,131.0,140,7,6,24,93.57,5.46
SB Styris,131.0,134,10,3,10,97.76,13.1
W Jaffer,130.0,129,14,3,8,100.78,16.25
Kamran Akmal,128.0,78,13,8,6,164.1,21.33
D Wiese,127.0,94,12,4,8,135.11,15.88
P Dogra,127.0,141,4,5,12,90.07,10.58
MC Juneja,125.0,134,11,1,7,93.28,17.86
BB Samantray,125.0,116,13,2,8,107.76,15.62
M Morkel,125.0,92,11,5,19,135.87,6.58
B Lee,124.0,102,8,8,19,121.57,6.53
AB McDonald,123.0,103,9,4,9,119.42,13.67
NK Patel,121.0,124,14,1,6,97.58,20.17
DL Vettori,121.0,118,11,2,16,102.54,7.56
AC Blizzard,120.0,91,21,2,7,131.87,17.14
RJ Harris,117.0,112,6,3,21,104.46,5.57
Misbah-ul-Haq,117.0,82,10,6,8,142.68,14.62
KK Cooper,116.0,70,9,8,12,165.71,9.67
M Kartik,113.0,109,7,1,14,103.67,8.07
Z Khan,111.0,124,11,2,23,89.52,4.83
DJ Harris,111.0,103,11,5,4,107.77,27.75
Bipul Sharma,110.0,79,8,3,11,139.24,10.0
JDP Oram,106.0,110,6,5,11,96.36,9.64
LJ Wright,106.0,63,16,3,5,168.25,21.2
Sachin Baby,104.0,76,8,4,5,136.84,20.8
